Station,StationName,Date,TMax,TMin
GHCND:USC00190120,AMHERST MA US,19871022,53,30
GHCND:USC00190120,AMHERST MA US,19871023,57,29
GHCND:USC00190120,AMHERST MA US,19871024,64,30
GHCND:USC00190120,AMHERST MA US,19871025,65,30
GHCND:USC00190120,AMHERST MA US,19871026,58,24
GHCND:USC00190120,AMHERST MA US,19871027,58,22
GHCND:USC00190120,AMHERST MA US,19871028,59,49
GHCND:USC00190120,AMHERST MA US,19871029,54,26
GHCND:USC00190120,AMHERST MA US,19871030,54,28
GHCND:USC00190120,AMHERST MA US,19871031,58,40
GHCND:USC00190120,AMHERST MA US,19871101,58,27
GHCND:USC00190120,AMHERST MA US,19871102,61,25
GHCND:USC00190120,AMHERST MA US,19871103,61,35
GHCND:USC00190120,AMHERST MA US,19871104,77,43
GHCND:USC00190120,AMHERST MA US,19871105,76,51
GHCND:USC00190120,AMHERST MA US,19871106,55,34
GHCND:USC00190120,AMHERST MA US,19871107,44,26
GHCND:USC00190120,AMHERST MA US,19871108,63,25
GHCND:USC00190120,AMHERST MA US,19871109,64,25
GHCND:USC00190120,AMHERST MA US,19871110,57,32
GHCND:USC00190120,AMHERST MA US,19871111,36,25
GHCND:USC00190120,AMHERST MA US,19871112,40,27
GHCND:USC00190120,AMHERST MA US,19871113,50,18
GHCND:USC00190120,AMHERST MA US,19871114,52,25
GHCND:USC00190120,AMHERST MA US,19871115,54,21
GHCND:USC00190120,AMHERST MA US,19871116,53,22
GHCND:USC00190120,AMHERST MA US,19871117,54,39
GHCND:USC00190120,AMHERST MA US,19871118,69,44
GHCND:USC00190120,AMHERST MA US,19871119,66,34
GHCND:USC00190120,AMHERST MA US,19871120,51,34
GHCND:USC00190120,AMHERST MA US,19871121,41,9
GHCND:USC00190120,AMHERST MA US,19871122,33,13
GHCND:USC00190120,AMHERST MA US,19871123,45,14
GHCND:USC00190120,AMHERST MA US,19871124,58,32
GHCND:USC00190120,AMHERST MA US,19871125,44,35
GHCND:USC00190120,AMHERST MA US,19871126,56,38
GHCND:USC00190120,AMHERST MA US,19871127,41,28
GHCND:USC00190120,AMHERST MA US,19871128,39,21
GHCND:USC00190120,AMHERST MA US,19871129,38,24
GHCND:USC00190120,AMHERST MA US,19871130,46,35
GHCND:USC00190120,AMHERST MA US,19871201,46,35
GHCND:USC00190120,AMHERST MA US,19871202,45,36
GHCND:USC00190120,AMHERST MA US,19871203,43,26
GHCND:USC00190120,AMHERST MA US,19871204,43,30
GHCND:USC00190120,AMHERST MA US,19871205,36,25
GHCND:USC00190120,AMHERST MA US,19871206,38,33
GHCND:USC00190120,AMHERST MA US,19871207,44,20
GHCND:USC00190120,AMHERST MA US,19871208,44,14
GHCND:USC00190120,AMHERST MA US,19871209,54,25
GHCND:USC00190120,AMHERST MA US,19871210,55,30
GHCND:USC00190120,AMHERST MA US,19871211,51,33
GHCND:USC00190120,AMHERST MA US,19871212,45,24
GHCND:USC00190120,AMHERST MA US,19871213,43,28
GHCND:USC00190120,AMHERST MA US,19871214,44,26
GHCND:USC00190120,AMHERST MA US,19871215,42,20
GHCND:USC00190120,AMHERST MA US,19871216,40,30
GHCND:USC00190120,AMHERST MA US,19871217,40,26
GHCND:USC00190120,AMHERST MA US,19871218,33,19
GHCND:USC00190120,AMHERST MA US,19871219,36,16
GHCND:USC00190120,AMHERST MA US,19871220,36,23
GHCND:USC00190120,AMHERST MA US,19871221,44,21
GHCND:USC00190120,AMHERST MA US,19871222,43,14
GHCND:USC00190120,AMHERST MA US,19871223,44,20
GHCND:USC00190120,AMHERST MA US,19871224,44,16
GHCND:USC00190120,AMHERST MA US,19871225,50,42
GHCND:USC00190120,AMHERST MA US,19871226,52,33
GHCND:USC00190120,AMHERST MA US,19871227,39,17
GHCND:USC00190120,AMHERST MA US,19871228,38,24
GHCND:USC00190120,AMHERST MA US,19871229,27,11
GHCND:USC00190120,AMHERST MA US,19871230,22,0
GHCND:USC00190120,AMHERST MA US,19871231,27,4
GHCND:USC00190120,AMHERST MA US,19880101,45,24
GHCND:USC00190120,AMHERST MA US,19880102,44,23
GHCND:USC00190120,AMHERST MA US,19880103,32,5
GHCND:USC00190120,AMHERST MA US,19880104,31,20
GHCND:USC00190120,AMHERST MA US,19880105,31,-11
GHCND:USC00190120,AMHERST MA US,19880106,21,-12
GHCND:USC00190120,AMHERST MA US,19880107,20,-16
GHCND:USC00190120,AMHERST MA US,19880108,20,4
GHCND:USC00190120,AMHERST MA US,19880109,33,14
GHCND:USC00190120,AMHERST MA US,19880110,34,28
GHCND:USC00190120,AMHERST MA US,19880111,28,-18
GHCND:USC00190120,AMHERST MA US,19880112,31,0
GHCND:USC00190120,AMHERST MA US,19880113,40,18
GHCND:USC00190120,AMHERST MA US,19880114,40,-7
GHCND:USC00190120,AMHERST MA US,19880115,16,-19
GHCND:USC00190120,AMHERST MA US,19880116,33,-4
GHCND:USC00190120,AMHERST MA US,19880117,42,40
GHCND:USC00190120,AMHERST MA US,19880118,42,31
GHCND:USC00190120,AMHERST MA US,19880119,46,35
GHCND:USC00190120,AMHERST MA US,19880120,45,26
GHCND:USC00190120,AMHERST MA US,19880121,40,32
GHCND:USC00190120,AMHERST MA US,19880122,40,24
GHCND:USC00190120,AMHERST MA US,19880123,32,9
GHCND:USC00190120,AMHERST MA US,19880124,32,14
GHCND:USC00190120,AMHERST MA US,19880125,41,26
GHCND:USC00190120,AMHERST MA US,19880126,39,23
GHCND:USC00190120,AMHERST MA US,19880127,32,1
GHCND:USC00190120,AMHERST MA US,19880128,29,-6
GHCND:USC00190120,AMHERST MA US,19880129,32,-4
GHCND:USC00190120,AMHERST MA US,19880130,38,20
GHCND:USC00190120,AMHERST MA US,19880131,54,27
GHCND:USC00190120,AMHERST MA US,19880201,52,41
GHCND:USC00190120,AMHERST MA US,19880202,52,40
GHCND:USC00190120,AMHERST MA US,19880203,42,18
GHCND:USC00190120,AMHERST MA US,19880204,31,22
GHCND:USC00190120,AMHERST MA US,19880205,28,0
GHCND:USC00190120,AMHERST MA US,19880206,24,-11
GHCND:USC00190120,AMHERST MA US,19880207,23,-7
GHCND:USC00190120,AMHERST MA US,19880208,34,14
GHCND:USC00190120,AMHERST MA US,19880209,31,1
GHCND:USC00190120,AMHERST MA US,19880210,36,20
GHCND:USC00190120,AMHERST MA US,19880211,34,7
GHCND:USC00190120,AMHERST MA US,19880212,33,22
GHCND:USC00190120,AMHERST MA US,19880213,34,21
GHCND:USC00190120,AMHERST MA US,19880214,35,7
GHCND:USC00190120,AMHERST MA US,19880215,42,12
GHCND:USC00190120,AMHERST MA US,19880216,42,32
GHCND:USC00190120,AMHERST MA US,19880217,41,12
GHCND:USC00190120,AMHERST MA US,19880218,46,21
