Weekly U.S. Days of Supply of Total Distillate
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD0_VSD_NUS_DAYS&f=W
14:34:04 GMT-0400 (EDT)
Source: U.S. Energy Information Administration
Week of,Weekly U.S. Days of Supply of Total Distillate Number of Days
04/10/1992,27.4
04/3/1992,30.1
03/27/1992,31.6
03/20/1992,32.3
03/13/1992,33.9
03/6/1992,30.9
02/28/1992,32.3
02/21/1992,32.2
02/14/1992,32.3
02/7/1992,34.3
01/31/1992,35.9
01/24/1992,38.7
01/17/1992,41.9
01/10/1992,43.7
01/3/1992,44.3
12/27/1991,45.1
12/20/1991,44.9
12/13/1991,47.7
12/6/1991,48.3
11/29/1991,46
11/22/1991,44.9
11/15/1991,44.5
11/8/1991,43.5
11/1/1991,45.3
10/25/1991,43.1
10/18/1991,43.1
10/11/1991,44.4
10/4/1991,45.2
09/27/1991,48.3
09/20/1991,48.7
09/13/1991,47.9
09/6/1991,46.3
08/30/1991,45.4
08/23/1991,45
08/16/1991,45.1
08/9/1991,44.6
08/2/1991,47
07/26/1991,45.5
07/19/1991,43
07/12/1991,44.8
07/5/1991,39.6
06/28/1991,39.5
06/21/1991,42.4
06/14/1991,40.9
06/7/1991,39.3
05/31/1991,39.4
05/24/1991,35.8
05/17/1991,36.2
05/10/1991,36.9
05/3/1991,36.7
04/26/1991,35.6
04/19/1991,33.6
04/12/1991,32.7
04/5/1991,30.1
03/29/1991,29.8
03/22/1991,30.1
03/15/1991,30.1
03/8/1991,32.9 
